device_type,start_hour,sessions
Laptop,0,35
Laptop,1,49
Laptop,2,59
Laptop,3,34
Laptop,4,40
Laptop,5,50
Laptop,18,182
Laptop,19,173
Laptop,20,200
Laptop,21,188
Laptop,22,192
Laptop,23,190
Mobile,0,48
Mobile,1,52
Mobile,2,47
Mobile,3,39
Mobile,4,46
Mobile,5,54
Mobile,18,176
Mobile,19,211
Mobile,20,195
Mobile,21,194
Mobile,22,187
Mobile,23,208
TV,0,25
TV,1,18
TV,2,25
TV,3,25
TV,4,22
TV,5,26
TV,18,101
TV,19,111
TV,20,88
TV,21,92
TV,22,105
TV,23,96
Tablet,0,30
Tablet,1,14
Tablet,2,31
Tablet,3,25
Tablet,4,33
Tablet,5,19
Tablet,18,85
Tablet,19,107
Tablet,20,93
Tablet,21,85
Tablet,22,86
Tablet,23,96
Unknown,0,21
Unknown,1,37
Unknown,2,15
Unknown,3,31
Unknown,4,20
Unknown,5,29
Unknown,18,87
Unknown,19,81
Unknown,20,99
Unknown,21,100
Unknown,22,99
Unknown,23,94
